RC_Chapter,RC_Region,RC_Division,Year,Total_Counties,Total_Households,Poverty_Households,ALICE_Households,Above_ALICE_Households,Poverty_Rate_Pct,ALICE_Rate_Pct,Combined_Rate_Pct
ARC of UpState South Carolina,South Carolina Region,Southeast and Caribbean Division,2018,10,544467,76875,146192,321400,14.12,26.85,40.97
ARC of UpState South Carolina,South Carolina Region,Southeast and Caribbean Division,2019,10,555859,75580,158282,321997,13.6,28.48,42.07
ARC of UpState South Carolina,South Carolina Region,Southeast and Caribbean Division,2021,10,586018,83903,159319,342796,14.32,27.19,41.5
ARC of UpState South Carolina,South Carolina Region,Southeast and Caribbean Division,2022,10,610482,86972,181584,341926,14.25,29.74,43.99
ARC of UpState South Carolina,South Carolina Region,Southeast and Caribbean Division,2023,10,616173,87010,166055,363108,14.12,26.95,41.07
ARC of West Michigan,Michigan Region,North Central Division,2010,12,522709,75182,124088,323439,14.38,23.74,38.12
ARC of West Michigan,Michigan Region,North Central Division,2012,12,526357,77474,130091,318792,14.72,24.72,39.43
ARC of West Michigan,Michigan Region,North Central Division,2014,12,530531,74550,129867,326114,14.05,24.48,38.53
ARC of West Michigan,Michigan Region,North Central Division,2016,12,541919,66471,127929,347519,12.27,23.61,35.87
ARC of West Michigan,Michigan Region,North Central Division,2018,12,555893,63021,138880,353992,11.34,24.98,36.32
ARC of West Michigan,Michigan Region,North Central Division,2019,12,558885,61854,142623,354408,11.07,25.52,36.59
ARC of West Michigan,Michigan Region,North Central Division,2021,12,571875,63483,138402,369990,11.1,24.2,35.3
ARC of West Michigan,Michigan Region,North Central Division,2022,12,578043,63565,157461,357017,11.0,27.24,38.24
ARC of West Michigan,Michigan Region,North Central Division,2023,12,587378,68305,159060,360013,11.63,27.08,38.71
ARC of Western Colorado,Colorado and Wyoming Region,Southwest and Rocky Mountain Division,2010,21,215052,23793,47139,144120,11.06,21.92,32.98
ARC of Western Colorado,Colorado and Wyoming Region,Southwest and Rocky Mountain Division,2012,21,219438,27844,57544,134050,12.69,26.22,38.91
ARC of Western Colorado,Colorado and Wyoming Region,Southwest and Rocky Mountain Division,2014,21,218391,28430,56776,133185,13.02,26.0,39.02
ARC of Western Colorado,Colorado and Wyoming Region,Southwest and Rocky Mountain Division,2016,21,218417,27280,62464,128673,12.49,28.6,41.09
ARC of Western Colorado,Colorado and Wyoming Region,Southwest and Rocky Mountain Division,2018,21,221780,26675,65536,129569,12.03,29.55,41.58
ARC of Western Colorado,Colorado and Wyoming Region,Southwest and Rocky Mountain Division,2019,21,226219,25147,61941,139131,11.12,27.38,38.5
ARC of Western Colorado,Colorado and Wyoming Region,Southwest and Rocky Mountain Division,2021,21,230011,23356,66723,139932,10.15,29.01,39.16
ARC of Western Colorado,Colorado and Wyoming Region,Southwest and Rocky Mountain Division,2022,21,237632,23817,71012,142803,10.02,29.88,39.91
ARC of Western Colorado,Colorado and Wyoming Region,Southwest and Rocky Mountain Division,2023,21,245762,26648,72845,146269,10.84,29.64,40.48
ARC of Western Kentucky,Kentucky Region,Central Atlantic Division,2010,5,16933,2725,4536,9672,16.09,26.79,42.88
ARC of Western Kentucky,Kentucky Region,Central Atlantic Division,2012,5,16546,2653,4386,9507,16.03,26.51,42.54
ARC of Western Kentucky,Kentucky Region,Central Atlantic Division,2014,5,16133,2794,4521,8818,17.32,28.02,45.34
ARC of Western Kentucky,Kentucky Region,Central Atlantic Division,2016,5,15834,2708,4836,8290,17.1,30.54,47.64
ARC of Western Kentucky,Kentucky Region,Central Atlantic Division,2018,5,15608,2576,4665,8367,16.5,29.89,46.39
ARC of Western Kentucky,Kentucky Region,Central Atlantic Division,2019,5,15277,2440,4499,8338,15.97,29.45,45.42
ARC of Western Kentucky,Kentucky Region,Central Atlantic Division,2021,5,14251,2272,3958,8021,15.94,27.77,43.72
ARC of Western Kentucky,Kentucky Region,Central Atlantic Division,2022,5,14234,2283,4442,7509,16.04,31.21,47.25
ARC of Western Kentucky,Kentucky Region,Central Atlantic Division,2023,5,14325,2287,4293,7745,15.97,29.97,45.93
ARC of Western Lake Erie,Northern Ohio Region,Central Atlantic Division,2010,7,351134,54045,83257,213832,15.39,23.71,39.1
ARC of Western Lake Erie,Northern Ohio Region,Central Atlantic Division,2012,7,353486,59633,79991,213862,16.87,22.63,39.5
ARC of Western Lake Erie,Northern Ohio Region,Central Atlantic Division,2014,7,353517,54364,79984,219169,15.38,22.63,38.0
ARC of Western Lake Erie,Northern Ohio Region,Central Atlantic Division,2016,7,357506,53617,77146,226743,15.0,21.58,36.58
ARC of Western Lake Erie,Northern Ohio Region,Central Atlantic Division,2018,7,359312,54777,83298,221237,15.24,23.18,38.43
ARC of Western Lake Erie,Northern Ohio Region,Central Atlantic Division,2019,7,363456,52279,80531,230646,14.38,22.16,36.54
ARC of Western Lake Erie,Northern Ohio Region,Central Atlantic Division,2021,7,369431,52587,89033,227811,14.23,24.1,38.33
ARC of Western Lake Erie,Northern Ohio Region,Central Atlantic Division,2022,7,375381,54810,89199,231372,14.6,23.76,38.36
ARC of Western Lake Erie,Northern Ohio Region,Central Atlantic Division,2023,7,370619,54909,87096,228614,14.82,23.5,38.32
ARC of Western New York,Western New York Region,Northeast Division,2010,7,607106,84651,150842,371613,13.94,24.85,38.79
ARC of Western New York,Western New York Region,Northeast Division,2012,7,607655,86826,154245,366584,14.29,25.38,39.67
ARC of Western New York,Western New York Region,Northeast Division,2014,7,609767,89235,154111,366421,14.63,25.27,39.91
ARC of Western New York,Western New York Region,Northeast Division,2016,7,606110,86410,164625,355075,14.26,27.16,41.42
ARC of Western New York,Western New York Region,Northeast Division,2018,7,621443,86186,161546,373711,13.87,26.0,39.86
